tradeday,account,nav
"2017-06-16 00:00:00",XLIN01,1012.7
"2017-06-19 00:00:00",XLIN01,1037.15
"2017-06-20 00:00:00",XLIN01,1022.25
"2017-06-21 00:00:00",XLIN01,1043.9
"2017-06-22 00:00:00",XLIN01,1051.05
"2017-06-23 00:00:00",XLIN01,1068.25
"2017-06-26 00:00:00",XLIN01,1069.8
"2017-06-27 00:00:00",XLIN01,1049.9
"2017-06-28 00:00:00",XLIN01,1070.3
"2017-06-29 00:00:00",XLIN01,1049.75
"2017-06-30 00:00:00",XLIN01,2047.3500000000001
"2017-07-03 00:00:00",XLIN01,2054.1
"2017-07-04 00:00:00",XLIN01,2054.1
"2017-07-05 00:00:00",XLIN01,2048.7
"2017-07-06 00:00:00",XLIN01,2037.3799999999999
"2017-07-07 00:00:00",XLIN01,2040.63
"2017-07-10 00:00:00",XLIN01,2028.3200000000002
"2017-07-11 00:00:00",XLIN01,2037.66
"2017-07-12 00:00:00",XLIN01,2358.85
"2017-07-13 00:00:00",XLIN01,2364.78
"2017-07-14 00:00:00",XLIN01,2902.6500000000005
"2017-07-17 00:00:00",XLIN01,2896.0300000000007
"2017-07-18 00:00:00",XLIN01,2893.4100000000003
"2017-07-19 00:00:00",XLIN01,2922.6400000000003
"2017-07-20 00:00:00",XLIN01,2938.9100000000003
"2017-07-21 00:00:00",XLIN01,2932.95
"2017-07-24 00:00:00",XLIN01,2933.0699999999997
"2017-07-25 00:00:00",XLIN01,2968.4300000000003
"2017-07-26 00:00:00",XLIN01,2995.8900000000003
"2017-07-27 00:00:00",XLIN01,2970.29
"2017-07-28 00:00:00",XLIN01,2978.63
"2017-07-31 00:00:00",XLIN01,3478.8500000000004
"2017-08-01 00:00:00",XLIN01,3648.86
"2017-08-02 00:00:00",XLIN01,3660.8599999999997
"2017-08-03 00:00:00",XLIN01,3632.1900000000005
"2017-08-04 00:00:00",XLIN01,3644.9700000000003
"2017-08-07 00:00:00",XLIN01,3671.8100000000004
"2017-08-08 00:00:00",XLIN01,3654.8500000000004
"2017-08-09 00:00:00",XLIN01,3642.2200000000007
"2017-08-10 00:00:00",XLIN01,3572.6800000000007
